2012-08-04 00:18:22 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-04 00:18:35 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-04 00:18:35 Debug: Ingreso, Usuario->super               
2012-08-04 00:20:15 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-04 00:20:15 Debug: Salida->Cierre de sesion, Usuario->
2012-08-04 00:20:15 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-04 00:20:42 Debug: Datos almacenados en la tabla Ingreso, Usuario->admin               
2012-08-04 00:20:42 Debug: Ingreso, Usuario->admin               
2012-08-04 00:20:47 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:20:49 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:20:58 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-04 00:22:48 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:24:42 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:24:43 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:24:45 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:24:46 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:25:17 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:25:18 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:25:19 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:25:20 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:42:04 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:42:05 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:46:02 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:46:03 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:49:31 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 00:49:31 Debug: opcion 1006 almacenada en, Opciones por->
2012-08-04 00:53:12 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 00:53:12 Debug: opcion 1007 almacenada en, Opciones por->
2012-08-04 00:53:44 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:53:45 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
